2020-04-27 17:04:16,402-readexcel.py:[28]-[INFO]-read value 11,2 in sheetName home_elementsInfo succeed
2020-04-27 17:04:16,402-readexcel.py:[28]-[INFO]-read value 11,3 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,734-doconfini.py:[18]-[INFO]-read excel value [D:\PycharmProjects\xiaozutest] succeed! 
2020-04-27 17:04:31,827-readexcel.py:[19]-[INFO]-reading home_elementsInfo failed 
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 1,2 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 1,3 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 2,2 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 2,3 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 3,2 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 3,3 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 4,2 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 5,3 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 5,2 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 5,3 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 6,2 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 6,3 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 7,2 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 7,3 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 8,2 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 8,3 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 9,2 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 9,3 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 10,2 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 10,3 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 11,2 in sheetName home_elementsInfo succeed
2020-04-27 17:04:31,827-readexcel.py:[28]-[INFO]-read value 11,3 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,139-doconfini.py:[18]-[INFO]-read excel value [D:\PycharmProjects\xiaozutest] succeed! 
2020-04-27 17:05:48,251-readexcel.py:[19]-[INFO]-reading home_elementsInfo failed 
2020-04-27 17:05:48,251-readexcel.py:[28]-[INFO]-read value 1,2 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,251-readexcel.py:[28]-[INFO]-read value 1,3 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,251-readexcel.py:[28]-[INFO]-read value 2,2 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,251-readexcel.py:[28]-[INFO]-read value 2,3 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,251-readexcel.py:[28]-[INFO]-read value 3,2 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,251-readexcel.py:[28]-[INFO]-read value 3,3 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,251-readexcel.py:[28]-[INFO]-read value 4,2 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,251-readexcel.py:[28]-[INFO]-read value 5,3 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,251-readexcel.py:[28]-[INFO]-read value 5,2 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,251-readexcel.py:[28]-[INFO]-read value 5,3 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,251-readexcel.py:[28]-[INFO]-read value 6,2 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,251-readexcel.py:[28]-[INFO]-read value 6,3 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,252-readexcel.py:[28]-[INFO]-read value 7,2 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,252-readexcel.py:[28]-[INFO]-read value 7,3 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,252-readexcel.py:[28]-[INFO]-read value 8,2 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,252-readexcel.py:[28]-[INFO]-read value 8,3 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,252-readexcel.py:[28]-[INFO]-read value 9,2 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,252-readexcel.py:[28]-[INFO]-read value 9,3 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,252-readexcel.py:[28]-[INFO]-read value 10,2 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,252-readexcel.py:[28]-[INFO]-read value 10,3 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,252-readexcel.py:[28]-[INFO]-read value 11,2 in sheetName home_elementsInfo succeed
2020-04-27 17:05:48,252-readexcel.py:[28]-[INFO]-read value 11,3 in sheetName home_elementsInfo succeed
2020-04-27 17:06:12,870-doconfini.py:[18]-[INFO]-read excel value [D:\PycharmProjects\xiaozutest] succeed! 
2020-04-27 17:06:12,971-readexcel.py:[19]-[INFO]-reading home_elementsInfo failed 
2020-04-27 17:06:12,971-readexcel.py:[28]-[INFO]-read value 1,2 in sheetName home_elementsInfo succeed
2020-04-27 17:06:12,971-readexcel.py:[28]-[INFO]-read value 1,3 in sheetName home_elementsInfo succeed
2020-04-27 17:06:12,971-readexcel.py:[28]-[INFO]-read value 2,2 in sheetName home_elementsInfo succeed
2020-04-27 17:06:12,971-readexcel.py:[28]-[INFO]-read value 2,3 in sheetName home_elementsInfo succeed
2020-04-27 17:06:12,971-readexcel.py:[28]-[INFO]-read value 3,2 in sheetName home_elementsInfo succeed
2020-04-27 17:06:12,971-readexcel.py:[28]-[INFO]-read value 3,3 in sheetName home_elementsInfo succeed
